action,total_frames
sniff,2150590
sniffgenital,703931
attack,518870
intromit,347964
mount,284931
rear,230889
sniffbody,103274
escape,90304
defend,89982
rest,87573
approach,85968
selfgroom,81761
dig,78770
sniffface,71527
climb,60334
reciprocalsniff,40682
follow,40144
dominance,38154
freeze,31660
shepherd,29451
chase,26704
avoid,25674
huddle,24148
dominancemount,17556
disengage,12021
submit,8478
allogroom,7580
genitalgroom,6270
attemptmount,5938
chaseattack,5413
tussle,5056
dominancegroom,4724
exploreobject,3678
biteobject,2326
run,1732
flinch,1677
ejaculate,1611
